data_source,time_scale,time_id,k,theta,num_matches,mdd,med,dist90,log_like,iteration
simulation,annual,2012,-1.76113363760276,1.28633559976,165621,4.34606204220859,3.2887,9.5974,-1263394.57582515,7
simulation,annual,2013,-1.86962657826038,1.36033701658473,145002,4.61099626881348,3.5482,10.0893,-1224301.29133211,7
simulation,annual,2014,-1.67494797961448,1.2187998552221,152709,4.20156916158676,3.1257,9.3616,-1101693.46202116,7
simulation,total_years,2012-4,-1.77551620924936,1.29097863332183,463332,4.39438177518035,3.329,9.6984,-3590400.79733122,7
simulation,monsoonal,NEM,-1.72431505310066,1.25218799288345,440702,4.29719879329044,3.2246,9.5319,-3056333.8446306,7
simulation,monsoonal,SWM,-1.9819676240394,1.47035974560921,22630,4.85452415749012,3.8182,10.4889,-532497.518444512,7
simulation_subsample,annual,2012,-0.858536452725457,0.812072105578897,3,3.35772819606332,2.1258,7.9934,-98.2839043396473,7
simulation_subsample,annual,2013,-2.33140975377866,5,18,4.97300233391382,4.7414,9.308,-462.241055074463,7
simulation_subsample,annual,2014,-2.32930823837721,5,13,4.96256246653087,4.7314,9.2884,-476.622323067399,7
simulation_subsample,total_years,2012-4,-2.33223711082645,5,34,4.97711848497192,4.7453,9.3157,-1135.00386156899,7
simulation_subsample,monsoonal,NEM,-2.33422878983718,5,34,4.98704118552945,4.7548,9.3343,-997.014616396772,7
simulation_subsample,monsoonal,SWM,-2.31539415797072,5,0,4.89399113316223,4.6661,9.1601,-137.908650633168,7
genetics,annual,2012,-3.47790806581653,5,1,15.6508004256542,14.9219,29.2936,-5.87884681242282,7
genetics,annual,2013,0.125779931922692,0.458150178192249,23,7.8119536718623,3.4166,19.7922,-118.482047001931,7
genetics,annual,2014,4.70758665005491,0.15,5,25807.9944484369,2000.6153,45221.8421,-32.9544563002361,7
genetics,total_years,2012-4,0.342166323942253,0.372025454831453,29,19.9274410287958,7.1659,50.4827,-168.707306560726,7
genetics,monsoonal,NEM,5.42317892547563,0.187928412583303,6,176.505253297302,22.9243,367.4534,-21.2628467851088,7
genetics,monsoonal,SWM,-3.37132624895894,5,11,14.068527976576,13.4133,26.3321,-70.8331356020123,7
simulation,annual,2012,-1.75135030837276,1.27865376999881,165599,4.32781467771992,3.2689,9.5666,-1262075.02750392,8
simulation,annual,2013,-1.8708950823301,1.36168043598293,144945,4.61303204397519,3.5508,10.0921,-1223692.51603065,8
simulation,annual,2014,-1.66853445480313,1.2141616166357,152838,4.19098930247749,3.114,9.344,-1101688.21150439,8
simulation,total_years,2012-4,-1.77090195151177,1.28735260735179,463382,4.38551534074759,3.3194,9.6833,-3588545.466431,8
simulation,monsoonal,NEM,-1.71648542303322,1.24687457731637,440815,4.28138646034053,3.2084,9.5035,-3052041.85846592,8
simulation,monsoonal,SWM,-1.99018537915591,1.47508623047655,22567,4.88317386174532,3.8441,10.5453,-534717.705592172,8
simulation_subsample,annual,2012,-0.785747100375238,0.798469867432636,2,3.23043739897574,2.0285,7.7102,-96.4180193981578,8
simulation_subsample,annual,2013,-2.32807322444888,5,17,4.95643741580449,4.7256,9.277,-454.493773149471,8
simulation_subsample,annual,2014,-2.31606567156761,5,12,4.89727861842321,4.6692,9.1662,-471.853903834703,8
simulation_subsample,total_years,2012-4,-2.32115617068404,5,31,4.92227177074213,4.693,9.213,-1116.22865319831,8
simulation_subsample,monsoonal,NEM,-2.31821820957811,5,30,4.90783155051642,4.6793,9.186,-934.182840200773,8
simulation_subsample,monsoonal,SWM,-2.33337959878934,5,1,4.98280803243176,4.7508,9.3263,-181.960853642847,8
genetics,annual,2012,-3.150412032538,3.08209645763837,5,11.7496941881353,10.6639,22.9393,-27.1807727076643,8
genetics,annual,2013,-3.32009206680861,5,14,13.3658916421534,12.7434,25.017,-88.5966917125107,8
genetics,annual,2014,5.77205013901393,0.15,9,8936.47720464053,690.0379,15597.5946,-55.46461990326,8
genetics,total_years,2012-4,-3.36937246297944,5,28,14.041067918137,13.3872,26.2807,-178.476492345835,8
genetics,monsoonal,NEM,0.99978339018915,0.327997836501135,4,24.9391575961834,7.799,62.5559,-20.0773105697801,8
genetics,monsoonal,SWM,-3.36796371929105,5,14,14.0213015784511,13.3683,26.2437,-91.8010245565348,8
simulation,annual,2012,-1.75876150925307,1.28499958471392,165559,4.33994286361664,3.2831,9.5856,-1262944.25313822,9
simulation,annual,2013,-1.87413844096871,1.36517503384986,144368,4.61812055224516,3.5574,10.099,-1225239.02624805,9
simulation,annual,2014,-1.67672981712426,1.21974365995369,152611,4.20575085961815,3.1296,9.3697,-1102220.13842683,9
simulation,total_years,2012-4,-1.77700573886178,1.29251984841681,462538,4.39610830421328,3.3315,9.7003,-3591449.06251414,9
simulation,monsoonal,NEM,-1.72368221183111,1.25238140460364,440112,4.29383649831812,3.2222,9.5242,-3054496.37908943,9
simulation,monsoonal,SWM,-1.99206332586111,1.47872414729605,22426,4.88365241603793,3.847,10.5422,-535227.031242155,9
simulation_subsample,annual,2012,-0.858536452725457,0.812072105578897,3,3.35772819606332,2.1258,7.9934,-98.2839043396473,9
simulation_subsample,annual,2013,-2.36371052032738,5,16,5.13625654555188,4.8971,9.6135,-470.954152571257,9
simulation_subsample,annual,2014,-2.33848350763899,5,13,5.00830484179089,4.7751,9.3741,-474.322592383966,9
simulation_subsample,total_years,2012-4,-2.36695065878218,4.67202704799494,32,5.16639661551955,4.8995,9.716,-1145.67603107502,9
simulation_subsample,monsoonal,NEM,-2.36933891842586,4.5833405505436,31,5.18327995540771,4.9077,9.7615,-964.436089706287,9
simulation_subsample,monsoonal,SWM,-2.33283122977996,5,1,4.9800763639767,4.7481,9.3212,-180.175952667735,9
genetics,annual,2012,-1.73000827374631,0.525840576183771,1,27.6276464710716,13.4747,69.4059,-6.94179727468926,9
genetics,annual,2013,-3.25668535494914,5,26,12.5447136059591,11.9605,23.48,-140.47079911536,9
genetics,annual,2014,1.69644874954185,0.282028332793218,15,44.8353328283741,11.5685,109.7394,-85.9074370012155,9
genetics,total_years,2012-4,0.292182264252541,0.393557762846776,42,14.8205130523583,5.6418,37.6141,-247.624021144521,9
genetics,monsoonal,NEM,0.237633257946023,0.426771938052709,7,9.95991069951739,4.0934,25.2829,-31.4535930591408,9
genetics,monsoonal,SWM,-3.3646999486277,5,13,13.9756138633657,13.3247,26.1582,-86.2285680624604,9
simulation,annual,2012,-1.75380378887415,1.28129837043909,166175,4.33008079399277,3.2727,9.5683,-1260767.48648575,10
simulation,annual,2013,-1.87179203639831,1.36351377238459,144275,4.61197989455217,3.5514,10.0876,-1224290.09458548,10
simulation,annual,2014,-1.6762679740547,1.21903839317019,152613,4.20628140158438,3.1294,9.3718,-1103036.28830355,10
simulation,total_years,2012-4,-1.77429188890138,1.29042650995912,463063,4.39073351251216,3.3258,9.691,-3589123.1330189,10
simulation,monsoonal,NEM,-1.72090429116994,1.25036558610093,440321,4.28863366615162,3.2167,9.5152,-3051873.4592639,10
simulation,monsoonal,SWM,-1.98942385770834,1.47612700042565,22742,4.87696979190246,3.8399,10.5307,-535527.795509308,10
simulation_subsample,annual,2012,-0.84982329372692,0.809119761184012,3,3.35293450442649,2.119,7.9865,-98.4145342801642,10
simulation_subsample,annual,2013,-2.28383185524228,3.172427590568,18,4.91819522924735,4.4804,9.5725,-485.179871152998,10
simulation_subsample,annual,2014,-2.35423160645197,5,11,5.08780043059874,4.8509,9.5228,-482.888003407146,10
simulation_subsample,total_years,2012-4,-2.34156025278546,3.72145186548131,32,5.11390766126323,4.7466,9.7984,-1174.66515144815,10
simulation_subsample,monsoonal,NEM,-2.34599445653534,3.67067745047538,30,5.14335189488072,4.7669,9.8673,-1062.97916993183,10
simulation_subsample,monsoonal,SWM,-2.31292719926134,5,2,4.8819327390084,4.6546,9.1375,-109.079603782868,10
genetics,annual,2012,-3.4784432975727,5,1,15.6591794732177,14.9299,29.3093,-7.18882185941938,10
genetics,annual,2013,-0.331927549228279,0.483065666117006,17,9.69271277343538,4.4284,24.4942,-99.3257677788507,10
genetics,annual,2014,5.01645333623619,0.15,8,19006.0338600753,1469.009,33205.4333,-52.6300490135851,10
genetics,total_years,2012-4,0.167998597098135,0.365337804914494,26,26.6783090717288,9.4124,67.5232,-165.139312294939,10
genetics,monsoonal,NEM,1.5496766437823,0.320456888632168,5,17.2381839109902,5.2431,43.1179,-23.2478107844303,10
genetics,monsoonal,SWM,-3.40400340026455,5,9,14.5358410415935,13.8589,27.2068,-62.1227718218104,10
simulation,annual,2012,-1.75307314111003,1.28095239462164,165703,4.32800812272069,3.2709,9.5642,-1262237.66139761,11
simulation,annual,2013,-1.87215942973,1.36206434550344,144707,4.61777854850065,3.5547,10.102,-1225075.63861883,11
simulation,annual,2014,-1.67632766776284,1.22053482355542,152138,4.20129244534713,3.1269,9.3588,-1102001.71215867,11
simulation,total_years,2012-4,-1.77392798479848,1.29014818711414,462548,4.39000807958338,3.325,9.6897,-3590386.5686589,11
simulation,monsoonal,NEM,-1.71923281066481,1.24906907938873,440161,4.28580005690566,3.2135,9.5105,-3052662.1422845,11
simulation,monsoonal,SWM,-1.99246543849326,1.47975894998103,22387,4.88315325767834,3.8473,10.5399,-535935.895766065,11
simulation_subsample,annual,2012,-1.5963276581938,1.10873068958522,3,4.31211954383194,3.1065,9.7605,-103.246253359374,11
simulation_subsample,annual,2013,-2.2692105102654,2.59624853348619,18,5.03011601668993,4.4543,10.0163,-506.908749833845,11
simulation_subsample,annual,2014,-2.32706990631215,5,13,4.95146702610968,4.7209,9.2677,-464.564545061134,11
simulation_subsample,total_years,2012-4,-2.36218998728462,4.32716122270834,34,5.16194720998265,4.863,9.7642,-1173.09810955828,11
simulation_subsample,monsoonal,NEM,-2.33776356646408,3.22026312897866,33,5.179786375438,4.7277,10.0659,-1060.16625121361,11
simulation_subsample,monsoonal,SWM,-2.30145519969605,5,1,4.8262472315224,4.6015,9.0333,-117.597137477754,11
genetics,annual,2012,-3.2621670223546,3.36710315317899,3,12.9791697939904,11.9111,25.1079,-14.6693678784122,11
genetics,annual,2013,-3.2809203497205,5,21,12.852448590668,12.2539,24.056,-119.879860218108,11
genetics,annual,2014,6.27346655276401,0.15,11,5412.57543594948,417.9368,9447.029,-64.1045881281413,11
genetics,total_years,2012-4,-3.3519231378187,5,35,13.7981859840233,13.1556,25.8261,-215.930520062599,11
genetics,monsoonal,NEM,-3.22168878928449,2.74764402368742,2,12.878816174031,11.5032,25.4713,-12.4603882416391,11
genetics,monsoonal,SWM,-3.38134851889547,5,13,14.2102354908876,13.5484,26.5973,-83.2732611873457,11
simulation,annual,2012,-1.75282452418742,1.28108135908171,165608,4.32652593422348,3.2698,9.5608,-1262059.93364472,12
simulation,annual,2013,-1.87042348250185,1.36098129420902,144958,4.6128408561883,3.5501,10.0925,-1223710.12108108,12
simulation,annual,2014,-1.67540779062437,1.21912279509651,152407,4.20236886347058,3.1265,9.363,-1102890.04422095,12
simulation,total_years,2012-4,-1.77289583510459,1.28931858370925,462973,4.38808013494385,3.3229,9.6865,-3589709.91938282,12
simulation,monsoonal,NEM,-1.71995178248834,1.2497221249388,440444,4.28669849128578,3.2147,9.5117,-3054224.6107443,12
simulation,monsoonal,SWM,-1.98722666500634,1.47312580970553,22529,4.8734473761714,3.835,10.5266,-533783.358220928,12
simulation_subsample,annual,2012,-0.724506991645336,0.781622060620977,3,3.17658565492211,1.9737,7.6062,-96.8782145510383,12
simulation_subsample,annual,2013,-2.31127502048327,3.00957166940476,17,5.09612526355251,4.6106,9.9751,-498.8131701677,12
simulation_subsample,annual,2014,-2.33933945111524,5,12,5.01259350281116,4.7791,9.3821,-477.882644100446,12
simulation_subsample,total_years,2012-4,-2.34762600000651,3.60731296161833,32,5.16068096819242,4.7738,9.9166,-1181.81821019755,12
simulation_subsample,monsoonal,NEM,-2.34584700061446,3.46910226547371,30,5.17322483306941,4.7642,9.978,-1047.71751685316,12
simulation_subsample,monsoonal,SWM,-2.32743555646395,5,2,4.95327786182539,4.7226,9.2711,-128.671424605281,12
genetics,annual,2012,-3.4784432975727,5,1,15.6591794732177,14.9299,29.3093,-7.18882185941938,12
genetics,annual,2013,-3.2892780341508,5,19,12.9603154307684,12.3567,24.2579,-104.214480191127,12
genetics,annual,2014,0.0750432122533633,0.347447514401289,10,41.1986209687723,13.7635,103.9197,-68.8187826156189,12
genetics,total_years,2012-4,-3.35312540523722,5,30,13.814785069737,13.1714,25.8572,-183.910405833347,12
genetics,monsoonal,NEM,-0.435087473659636,0.495622593741525,6,9.61988067573464,4.4854,24.2721,-29.1758035744264,12
genetics,monsoonal,SWM,-3.39305118449475,5,10,14.377509994666,13.7079,26.9104,-68.1834532622058,12
simulation,annual,2012,-1.75405979312471,1.28027840588145,165400,4.33440897375774,3.2752,9.5792,-1262998.95701478,13
simulation,annual,2013,-1.87294121017854,1.36325415027174,144744,4.6180174184631,3.5558,10.1011,-1224288.37682604,13
simulation,annual,2014,-1.67630934213911,1.22003523155214,152508,4.20296216435553,3.1277,9.3632,-1103315.61448585,13
simulation,total_years,2012-4,-1.77463718770128,1.29021412620901,462652,4.39291577098817,3.3273,9.6961,-3591653.55661266,13
simulation,monsoonal,NEM,-1.72336889499356,1.25172657398291,439974,4.29467158741581,3.2223,9.5268,-3055700.16782842,13
simulation,monsoonal,SWM,-1.98217089090055,1.46791232395727,22678,4.8614149534856,3.8219,10.5066,-534361.057519123,13
simulation_subsample,annual,2012,-1.30913052166389,0.975675736949835,3,3.83776397062279,2.6342,8.8726,-101.658118701609,13
simulation_subsample,annual,2013,-2.32673394745479,3.32363928700372,17,5.10152400351185,4.6744,9.8817,-479.868403274835,13
simulation_subsample,annual,2014,-2.33654562189306,5,12,4.99860871725194,4.7658,9.3559,-475.392805431046,13
simulation_subsample,total_years,2012-4,-2.34870020359496,3.80332994085234,32,5.14043129716582,4.7822,9.8298,-1153.26718421053,13
simulation_subsample,monsoonal,NEM,-2.34440437431977,5,32,5.03804630779686,4.8034,9.4297,-987.945230143057,13
simulation_subsample,monsoonal,SWM,-2.31504134098023,2.88741019146513,0,5.15204247355628,4.6347,10.1313,-144.785878544203,13
genetics,annual,2012,-3.37022750091364,4.13551433472682,2,14.1851340532058,13.3076,26.9306,-10.5044428588846,13
genetics,annual,2013,-3.25629472627649,5,25,12.5398142381135,11.9558,23.4708,-126.610849411676,13
genetics,annual,2014,1.6832279508925,0.284290549590256,15,42.1573766955109,10.9969,103.3594,-83.4867207281495,13
genetics,total_years,2012-4,-3.32253850800591,5,42,13.3986305406718,12.7746,25.0782,-230.777464317457,13
genetics,monsoonal,NEM,-2.83541437288902,2.21742665188199,12,9.25726491076783,7.982,18.812,-53.1953406308831,13
genetics,monsoonal,SWM,-3.39366210123751,5,10,14.3862961397693,13.7163,26.9269,-66.7588788283477,13
simulation,annual,2012,-1.75855476366768,1.28482476675781,165013,4.33959345924056,3.2827,9.585,-1262707.89747186,14
