time_scale,time_id,k,theta,mdd,med,dist90,log_like,iteration
season,SWM,-1.52808501536481,0.634887334336118,11.9369035673558,6.61,29.41,-29326.6778987347,6
annual,2012,-2.07482219030639,0.957065627838134,8.49584558520689,5.79,19.7,-50058.7230314303,7
annual,2013,-1.56966612483839,0.769946122132627,7.63875563772198,4.71,18.33,-181160.695299336,7
annual,2014,-0.698491101877299,0.631842635771327,5.28117462585919,2.92,13.02,-194832.307870576,7
interannual,2012-4,-1.2328202267219,0.705011075498122,6.69488711915479,3.94,16.27,-592838.033261595,7
season,NEM,-1.27355232625552,0.727383198641434,6.46344218078059,3.87,15.64,-559405.349329306,7
season,SWM,-1.55280941109844,0.63710454948664,12.1119496619866,6.72,29.83,-28911.633206629,7
annual,2012,-2.04670698106548,0.948522077128959,8.37523417899416,5.68,19.45,-51372.9140076185,8
annual,2013,-1.51326379346712,0.7507351033969,7.63507800775445,4.65,18.39,-179530.213171184,8
annual,2014,-0.718265846400606,0.63547268810751,5.29690612377405,2.93,13.05,-193732.946875502,8
interannual,2012-4,-1.20880448959879,0.698697769503074,6.68507904587591,3.91,16.27,-591745.213858653,8
season,NEM,-1.25665640933324,0.722315689196904,6.46198256652281,3.85,15.65,-558349.793963203,8
season,SWM,-1.32846305332914,0.591123888545345,12.1895709497485,6.45,30.28,-29129.5044077313,8
annual,2012,-2.03536777189215,0.933957392431519,8.48471529519604,5.72,19.76,-49858.3945933554,9
annual,2013,-1.51266920798922,0.750839266323288,7.62815061213527,4.64,18.37,-178882.663822818,9
annual,2014,-0.658554860920237,0.624571739632983,5.25198017210582,2.88,12.97,-195585.374296202,9
interannual,2012-4,-1.16993979487353,0.689129782508286,6.66049677895032,3.87,16.24,-591170.587477058,9
season,NEM,-1.21542530637619,0.711677616657873,6.42817083487944,3.8,15.6,-558517.689508325,9
season,SWM,-1.37681897296959,0.596744562420776,12.4077865631552,6.61,30.79,-28216.7583176497,9
annual,2012,-2.07015865460203,0.958781757547127,8.43321035741153,5.75,19.55,-51483.4930607701,10
annual,2013,-1.51762948678292,0.752085571657377,7.63747962283392,4.65,18.39,-180168.734315145,10
annual,2014,-0.708904354357095,0.633764128792417,5.28904988826316,2.93,13.03,-194468.215000362,10
interannual,2012-4,-1.21617398449197,0.700619643538398,6.68808920608782,3.92,16.27,-593057.851410851,10
season,NEM,-1.26132939739519,0.723740198970185,6.46170318405341,3.86,15.65,-559476.450391589,10
season,SWM,-1.40510003514902,0.607122728130587,12.0847326684717,6.51,29.93,-29245.3728688814,10
annual,2012,-2.08331389100399,0.965282782728665,8.45775535970266,5.78,19.59,-50947.8490394355,11
annual,2013,-1.52718076307999,0.754674540637063,7.65152080214096,4.67,18.42,-179255.994815631,11
annual,2014,-0.701385338553774,0.632452354543138,5.28146707978758,2.92,13.02,-195529.697031014,11
interannual,2012-4,-1.21441890258945,0.700350279285143,6.68281969929885,3.92,16.26,-594455.366143774,11
season,NEM,-1.26181000233112,0.724156178581538,6.45594104072144,3.86,15.63,-561371.854078483,11
season,SWM,-1.4155507666609,0.605822566926943,12.294020317626,6.61,30.46,-28628.6926798318,11
annual,2012,-2.05493042336778,0.945232702773835,8.49018009084595,5.75,19.73,-50077.2688401892,12
annual,2013,-1.5569854422955,0.765896786070655,7.62964741544347,4.69,18.32,-180834.434548222,12
annual,2014,-0.706154235897857,0.63422179446036,5.26337899406291,2.91,12.97,-194920.612463628,12
interannual,2012-4,-1.21846547221645,0.701998931023291,6.67042506038995,3.92,16.22,-595340.064792531,12
season,NEM,-1.26201438630607,0.72475950452855,6.44444019803886,3.85,15.6,-562571.23173622,12
season,SWM,-1.42231345622752,0.606556743166519,12.330513175547,6.64,30.54,-28281.2890412911,12
annual,2012,-2.01244523087967,0.923420697424081,8.44500512877946,5.67,19.7,-50059.1257515394,13
annual,2013,-1.48074025931877,0.74106162760769,7.61259178272701,4.6,18.37,-180377.074861561,13
annual,2014,-0.708192654898557,0.635770098142048,5.23666042287908,2.9,12.9,-196520.396116947,13
interannual,2012-4,-1.19428469970242,0.695681228965957,6.66131529651548,3.89,16.22,-594020.408648573,13
season,NEM,-1.24469795160296,0.720125163556657,6.43194251398101,3.83,15.59,-561294.868471135,13
season,SWM,-1.35086558691757,0.589800467762398,12.5572429391535,6.64,31.2,-28158.5835269515,13
annual,2012,-2.07860173033563,0.958563744959938,8.50766469744822,5.8,19.73,-50401.8848751825,14
annual,2013,-1.52957721836228,0.757835091569137,7.59868216926834,4.65,18.28,-181283.568821681,14
annual,2014,-0.694585055793292,0.630611369963517,5.29094250460408,2.92,13.05,-194469.513404273,14
interannual,2012-4,-1.20565725272842,0.698124533529085,6.67790299094026,3.91,16.25,-593628.340632966,14
season,NEM,-1.24597468649876,0.719837365273869,6.44636560126405,3.84,15.62,-560465.689743892,14
season,SWM,-1.52846043483875,0.631906999606605,12.1074124981315,6.68,29.85,-28700.8228997107,14
annual,2012,-2.05462895829063,0.946892446550273,8.46444064291774,5.74,19.67,-50695.8620803985,15
annual,2013,-1.55340742224562,0.76362176205645,7.65214860524465,4.7,18.39,-179696.882495062,15
annual,2014,-0.720635744877948,0.635011541007563,5.32074655855211,2.95,13.11,-192880.895507837,15
interannual,2012-4,-1.24401264777481,0.707393144027772,6.71377533646214,3.96,16.31,-591631.761839298,15
season,NEM,-1.28925407890838,0.731104532159338,6.48706352803473,3.89,15.69,-558379.588361677,15
season,SWM,-1.46560379089759,0.617020023685656,12.2124915953117,6.64,30.19,-28811.7099953918,15
annual,2012,-2.05595064203062,0.948734019497972,8.45008045195614,5.73,19.63,-50783.6858262002,16
annual,2013,-1.51245220967172,0.750748146321873,7.62858484627341,4.64,18.38,-179556.819984667,16
annual,2014,-0.70575403774792,0.634300740342752,5.25935567957527,2.91,12.96,-196353.686796128,16
interannual,2012-4,-1.20098078576458,0.69703681408732,6.67302601268282,3.9,16.24,-593146.05757568,16
season,NEM,-1.25399837895655,0.722193077893469,6.44745312561432,3.84,15.62,-559897.319586095,16
season,SWM,-1.2516101864804,0.572971741782789,12.525400673526,6.49,31.22,-28817.1902306059,16
annual,2012,-2.04049131046791,0.938118189655477,8.46837570281291,5.72,19.7,-50686.1407394092,17
annual,2013,-1.57206752794133,0.770014758656688,7.65564084628656,4.72,18.37,-179703.904434874,17
annual,2014,-0.713430523722631,0.634750904147323,5.28889213157212,2.93,13.03,-195518.971851422,17
interannual,2012-4,-1.22398669507155,0.702605069635206,6.69287414473618,3.93,16.27,-593499.449217542,17
season,NEM,-1.27164265431818,0.72657109835264,6.46823864680271,3.87,15.65,-560020.269324139,17
season,SWM,-1.38693185554017,0.602575307285101,12.1512912615558,6.51,30.12,-29125.9862314799,17
annual,2012,-2.03014377498903,0.93758726724679,8.38870647594711,5.66,19.52,-51010.7523806598,18
annual,2013,-1.56431122414581,0.768010126468075,7.63965632738881,4.71,18.34,-179271.240027016,18
annual,2014,-0.691498702521258,0.63090309724851,5.2674385245622,2.91,12.99,-195478.509925045,18
interannual,2012-4,-1.21984334409718,0.70253402263708,6.66688775162823,3.92,16.21,-594558.2915855,18
season,NEM,-1.26744997421267,0.72649062686861,6.44287138414403,3.85,15.59,-561094.399124495,18
season,SWM,-1.38650592976864,0.60203688470843,12.1805536658717,6.52,30.2,-29027.6821361199,18
annual,2012,-2.00409742478241,0.922228104558103,8.39239075827057,5.63,19.58,-50754.6012217629,19
annual,2013,-1.53386055598968,0.758846200964616,7.60872546033301,4.66,18.3,-182249.520556245,19
annual,2014,-0.711282636544118,0.634812403339402,5.27604917802962,2.92,13,-194586.908081867,19
interannual,2012-4,-1.21301062198199,0.700727465963205,6.66438776053971,3.91,16.21,-595452.838134112,19
season,NEM,-1.25890570660634,0.724076933246634,6.43890090337478,3.85,15.59,-562486.988410044,19
season,SWM,-1.39484576172266,0.601453150757208,12.3204095965732,6.59,30.55,-28492.0070784858,19
annual,2012,-2.04224228482195,0.939910617973266,8.4577015097845,5.72,19.67,-50296.2609225247,20
annual,2013,-1.54444045726112,0.761573107492251,7.62884328672247,4.68,18.34,-181007.931477491,20
annual,2014,-0.717740583386779,0.635904064362943,5.28365049104777,2.93,13.02,-195580.991001447,20
interannual,2012-4,-1.23165224254722,0.704910191123308,6.68945513729904,3.94,16.26,-594134.041859115,20
season,NEM,-1.2760102512872,0.728122651437263,6.46376669391048,3.87,15.64,-561418.676776446,20
season,SWM,-1.46766341775177,0.617809040507091,12.1900551441943,6.64,30.13,-28267.851585731,20
annual,2012,-2.07335627612558,0.95618102590953,8.49541724044294,5.78,19.71,-50175.9212903581,21
annual,2013,-1.54471939181507,0.763084284467973,7.59770920493681,4.66,18.26,-181097.459257278,21
annual,2014,-0.708030084635583,0.633091297181643,5.30092391467802,2.93,13.07,-193993.623310475,21
interannual,2012-4,-1.23526476355086,0.705849760584256,6.69145745443052,3.94,16.26,-592081.161132048,21
season,NEM,-1.28165702578941,0.729860057749912,6.4638583455532,3.88,15.63,-559274.401297366,21
season,SWM,-1.44797681955703,0.611147831255328,12.35727447006,6.68,30.58,-28255.7029381015,21
annual,2012,-2.05576354122372,0.949557660273929,8.43713945239584,5.73,19.59,-50751.7440804233,22
annual,2013,-1.55063349278639,0.763465259449044,7.63439044460112,4.69,18.34,-180082.077234499,22
annual,2014,-0.676264836903526,0.627464531384364,5.27253524503412,2.9,13.01,-194937.654111941,22
interannual,2012-4,-1.21775190694263,0.701282334857974,6.68276247783838,3.92,16.25,-594454.465823175,22
season,NEM,-1.26000511466573,0.723761513012461,6.45269753180864,3.85,15.63,-561475.208346454,22
season,SWM,-1.55329810804202,0.63704843112617,12.1209754148021,6.73,29.85,-28477.6710107796,22
annual,2012,-2.0647451011609,0.95602445413217,8.42468926877795,5.74,19.54,-50779.4393677972,23
annual,2013,-1.55999157380976,0.767228391907095,7.62363205514918,4.69,18.31,-180873.253599548,23
annual,2014,-0.744240650540502,0.640506733725799,5.31321050257538,2.96,13.08,-195590.937781516,23
interannual,2012-4,-1.24690345781734,0.709226731887186,6.69027088180091,3.95,16.25,-595717.727915489,23
season,NEM,-1.29158239793787,0.732896059672172,6.46492316171077,3.89,15.63,-562359.897078957,23
season,SWM,-1.48582335989436,0.621346803689028,12.2002140506022,6.67,30.14,-28832.464525329,23
annual,2012,-2.05897110411558,0.949019122996179,8.47169254851908,5.75,19.67,-50250.5984867968,24
annual,2013,-1.52398726009522,0.755743834711543,7.60301190568068,4.64,18.3,-181070.873660228,24
annual,2014,-0.670985761834336,0.627694181179517,5.2390661275385,2.88,12.93,-195907.120289136,24
interannual,2012-4,-1.2055154579245,0.698776453369158,6.66123408933196,3.9,16.21,-595713.278390752,24
season,NEM,-1.24815615941054,0.721193298774743,6.43124841217532,3.83,15.58,-562605.55926612,24
season,SWM,-1.48611738915287,0.62200800847372,12.1646795660864,6.65,30.05,-28596.2780277382,24
annual,2012,-2.04026439069514,0.936353708174667,8.49172304052684,5.73,19.76,-49883.0020402247,25
annual,2013,-1.57748009620132,0.771567969729004,7.66367108624594,4.73,18.39,-179684.102682091,25
annual,2014,-0.661529773508596,0.624414837571002,5.27159728885875,2.89,13.01,-193254.00124547,25
interannual,2012-4,-1.22020117894368,0.70142511649327,6.69572874893057,3.93,16.28,-591140.980835159,25
season,NEM,-1.26537081398935,0.724706177598826,6.46724169305707,3.86,15.66,-557997.751651082,25
season,SWM,-1.46410812704381,0.617284834826402,12.178277723195,6.63,30.11,-28715.8300056691,25
annual,2012,-2.03670567727284,0.934285167299176,8.49133114868839,5.73,19.77,-49770.1602451636,26
annual,2013,-1.52217917097379,0.755261303601598,7.60011861636008,4.64,18.29,-181302.662961938,26
annual,2014,-0.706767913552009,0.633812562531344,5.27657991691773,2.92,13,-196592.622272048,26
interannual,2012-4,-1.21450768134154,0.700680894084015,6.67548716680248,3.92,16.24,-594816.70126436,26
season,NEM,-1.25979488474742,0.723912229013476,6.44813198666021,3.85,15.61,-561724.737285493,26
season,SWM,-1.45261327319812,0.614628274862981,12.1991135669575,6.62,30.17,-28628.1918311661,26
annual,2012,-2.06764834724694,0.954162328640006,8.47450415058632,5.76,19.66,-50511.6072889875,27
annual,2013,-1.52926427129131,0.757688181708407,7.59958142026349,4.65,18.28,-180969.116790773,27
annual,2014,-0.657972255596611,0.624186335286131,5.25864727363711,2.88,12.98,-194660.48125694,27
interannual,2012-4,-1.1962546623763,0.696259035008394,6.6603927916004,3.89,16.22,-593338.058196426,27
season,NEM,-1.24191252069715,0.719473550356455,6.42806343415428,3.83,15.58,-560196.779768849,27
season,SWM,-1.41799192836352,0.6048199700261,12.3883988778982,6.65,30.7,-28565.7260589916,27
annual,2012,-2.0502071381448,0.940024611843616,8.52370615940259,5.76,19.83,-49288.7522702928,28
annual,2013,-1.5287921918665,0.756236787007977,7.62851742992996,4.66,18.36,-180128.822833028,28
annual,2014,-0.686890769407547,0.630057081349292,5.26405502375938,2.9,12.98,-195876.178388439,28
interannual,2012-4,-1.19577867965894,0.695399261162731,6.67815317788482,3.9,16.26,-591990.216424771,28
season,NEM,-1.24399544909993,0.719085829794999,6.44985118858204,3.84,15.63,-559066.987448342,28
season,SWM,-1.35596001133536,0.593159888492828,12.3901874544719,6.57,30.77,-28509.6453009012,28
annual,2012,-2.05627041914133,0.948846546972367,8.45122775693375,5.74,19.63,-50733.1191334997,29
annual,2013,-1.5526252417004,0.762978720282378,7.6603453289399,4.7,18.41,-179568.52687082,29
annual,2014,-0.725901747704318,0.637895702039951,5.27869454225374,2.93,13,-195976.174380927,29
interannual,2012-4,-1.21411965974394,0.700495921616692,6.67732774086436,3.92,16.24,-594178.444627092,29
season,NEM,-1.26297440541918,0.7246867683794,6.45217425853358,3.85,15.62,-560928.285738703,29
season,SWM,-1.37663094882484,0.598902328427659,12.2628605510788,6.54,30.42,-28830.4583738608,29
annual,2012,-2.04408493503141,0.941083133936571,8.45668975435598,5.72,19.67,-50568.5026296785,30
annual,2013,-1.54028655630109,0.759959329945739,7.63293147709644,4.68,18.35,-180068.157364661,30
annual,2014,-0.675878177685792,0.627358211374697,5.27315660610206,2.9,13.01,-194348.241091908,30
interannual,2012-4,-1.2198728525682,0.701766130589954,6.68537540137357,3.92,16.26,-594260.544131063,30
season,NEM,-1.26666185651651,0.725366518697979,6.46155467812145,3.86,15.64,-560948.811983861,30
season,SWM,-1.42183376137459,0.610236750075407,12.0942375201499,6.53,29.94,-28973.1368983102,30
annual,2012,-2.04465260434744,0.940409314299168,8.47103229473861,5.73,19.7,-50268.5361674075,31
annual,2013,-1.54620752439959,0.761526402088475,7.64337047392001,4.69,18.37,-179274.856994612,31
annual,2014,-0.672730902642126,0.62753659980712,5.25213958250539,2.89,12.96,-195316.55170359,31
interannual,2012-4,-1.2111901457388,0.699582241801909,6.67970159074053,3.91,16.25,-593033.637996358,31
season,NEM,-1.25910147364636,0.723431048109877,6.453912401607,3.85,15.63,-559611.1493547,31
season,SWM,-1.4068108834796,0.605498133473576,12.2075603928851,6.56,30.25,-29024.6093240285,31
annual,2012,-2.05185689895785,0.947590337637316,8.43133995587118,5.72,19.59,-50732.5005128572,32
annual,2013,-1.5389280282914,0.760745506859866,7.60514978267626,4.66,18.28,-181665.473188426,32
annual,2014,-0.664491845050672,0.625143847202494,5.26878302966595,2.89,13.01,-193352.52664614,32
interannual,2012-4,-1.20960812414819,0.699376026681243,6.6740989873488,3.91,16.24,-594449.592312841,32
season,NEM,-1.2554353973244,0.722581367561132,6.44841106985483,3.85,15.62,-560937.578113147,32
season,SWM,-1.40536170425477,0.60750147432377,12.0643395252976,6.5,29.88,-29167.8524964918,32
annual,2012,-2.03900778680489,0.939137726186125,8.44133074012747,5.7,19.64,-50888.3322567606,33
annual,2013,-1.57883750454664,0.772412011261821,7.6559752896902,4.73,18.36,-180093.602491803,33
annual,2014,-0.715917264106744,0.63611805499496,5.26885342249494,2.92,12.98,-195636.205908265,33
interannual,2012-4,-1.23862357267654,0.707190551928324,6.6824310809507,3.94,16.23,-594567.917529196,33
season,NEM,-1.28303706297478,0.730449625557087,6.46047520983545,3.88,15.62,-560959.840945444,33
season,SWM,-1.45828514892076,0.619633383388102,11.9684739170284,6.53,29.57,-29251.9319812218,33
annual,2012,-2.05231295764838,0.94713936214495,8.44143369487049,5.72,19.61,-50220.2631326054,34
annual,2013,-1.49988660530225,0.747759482221949,7.60167552684459,4.62,18.32,-180508.151670681,34
annual,2014,-0.632150526624691,0.619098009525946,5.25282344277395,2.86,12.98,-194428.601324496,34
interannual,2012-4,-1.17850358815246,0.691480144720368,6.65921041635314,3.88,16.23,-593088.480493991,34
season,NEM,-1.2231875878894,0.713922805825079,6.4285147411762,3.81,15.6,-559686.398142164,34
season,SWM,-1.41870002062592,0.609114076641614,12.1256274189039,6.54,30.02,-29027.2060612507,34
annual,2012,-2.0777809516838,0.960054576920501,8.48057927580466,5.78,19.66,-50330.4223759478,35
annual,2013,-1.54030325914206,0.759839212549661,7.6357316598002,4.68,18.36,-179714.85475047,35
annual,2014,-0.705447543125033,0.633109569027209,5.28680363729082,2.92,13.03,-193879.174674185,35
interannual,2012-4,-1.21705902921434,0.701254553745095,6.67879782491743,3.92,16.24,-593830.912864506,35
season,NEM,-1.26427793648029,0.724967402082659,6.45462850586877,3.86,15.63,-560347.986710831,35
season,SWM,-1.39114705110025,0.604161347691346,12.1017189252148,6.5,29.99,-29133.020742663,35
annual,2012,-2.04552201008133,0.941879304190116,8.45760567208903,5.72,19.67,-50886.7721503649,36
annual,2013,-1.56512531298144,0.769107142195787,7.62217099698527,4.7,18.29,-182225.783682946,36
annual,2014,-0.705896944365777,0.63330954517194,5.28427842864986,2.92,13.02,-193497.044695949,36
interannual,2012-4,-1.22231803718869,0.702587050133566,6.68214423045034,3.93,16.25,-594351.274897438,36
season,NEM,-1.26390766262551,0.724799893092327,6.45579487804788,3.86,15.63,-560934.76392816,36
season,SWM,-1.49014761279597,0.625685993444296,11.9994629241431,6.58,29.62,-29049.0161735432,36
annual,2012,-2.05713430171713,0.949195974449481,8.45370301097197,5.74,19.63,-50504.9276635262,37
annual,2013,-1.52150908443826,0.754136417155158,7.6204134704449,4.65,18.34,-179550.477624151,37
annual,2014,-0.699280197666296,0.631972265437876,5.28215152041157,2.92,13.02,-195077.35739635,37
interannual,2012-4,-1.22639791763202,0.703928534705486,6.67755433353828,3.93,16.23,-594320.454462508,37
season,NEM,-1.26956339624226,0.726727081012261,6.45151322504141,3.86,15.61,-560529.784124201,37
season,SWM,-1.50134666880536,0.629580913495542,11.9125839351864,6.56,29.38,-29396.1304828955,37
annual,2012,-2.05479858119154,0.947371116690919,8.45922181131004,5.74,19.65,-50260.9757004448,38
annual,2013,-1.48890778670225,0.743076231480016,7.62727512885136,4.62,18.4,-179328.234789729,38
annual,2014,-0.688973564471266,0.630548579113902,5.26288363891799,2.9,12.98,-194132.171837268,38
interannual,2012-4,-1.19624280199788,0.695671110139287,6.67461832869827,3.9,16.25,-591505.753438729,38
season,NEM,-1.23807737569086,0.717749498263539,6.44069323306956,3.83,15.61,-558516.486083042,38
season,SWM,-1.50027895172239,0.623316688235041,12.2603240494078,6.71,30.27,-28473.26264066,38
annual,2012,-2.06808738551436,0.948940000806553,8.55038162232828,5.8,19.86,-49212.6032739513,39
annual,2013,-1.52491568152271,0.755498023019786,7.61560769529326,4.65,18.33,-179738.995411496,39
annual,2014,-0.712879568907684,0.634617366192022,5.28923355120179,2.93,13.03,-194865.927603986,39
interannual,2012-4,-1.22807205455655,0.703755959765073,6.69283728195883,3.94,16.27,-592744.433719251,39
season,NEM,-1.27252595857703,0.726981738858193,6.46527445320609,3.87,15.65,-559349.632876904,39
season,SWM,-1.44744794858376,0.613491421039349,12.2055724535252,6.62,30.2,-28949.139700655,39
annual,2012,-2.04474730287363,0.943634544029457,8.42642350797185,5.71,19.59,-50914.3185916747,40
annual,2013,-1.54607587344776,0.761216109830494,7.64924450041215,4.69,18.39,-179065.636003755,40
annual,2014,-0.67745399893137,0.627984766962954,5.26581012605071,2.9,12.99,-195400.802592031,40
interannual,2012-4,-1.19951415741173,0.696760362338877,6.66994876961475,3.9,16.24,-593774.036737461,40
season,NEM,-1.24758468812927,0.720468290273774,6.44314180045506,3.84,15.61,-559930.000186502,40
season,SWM,-1.38079300249695,0.60214036619874,12.1045710974399,6.48,30.01,-29480.0157320895,40
annual,2012,-2.07767920629433,0.960915867110341,8.46816140386131,5.78,19.63,-50946.2935465381,41
annual,2013,-1.51944108146312,0.753139948945427,7.62726434332463,4.65,18.36,-179688.140697594,41
annual,2014,-0.733946711454833,0.639449774104262,5.28394532525727,2.94,13.01,-195111.029894996,41
interannual,2012-4,-1.22164437504991,0.702353022322704,6.68321573452045,3.93,16.25,-593463.704443323,41
season,NEM,-1.26060848705827,0.723743697272978,6.45697195720318,3.86,15.64,-559940.162264105,41
season,SWM,-1.53817456162431,0.638275685527257,11.8724857762174,6.6,29.23,-29209.2003200918,41
annual,2012,-2.0905155547951,0.967151654589169,8.49410886816211,5.81,19.67,-50424.7150436591,42
annual,2013,-1.54261977576365,0.760544069973165,7.63774943881623,4.68,18.36,-179623.90303708,42
annual,2014,-0.697174758465055,0.631069568677523,5.29329834299703,2.92,13.05,-194433.84518823,42
interannual,2012-4,-1.20468903080558,0.697433272832218,6.68817901260678,3.91,16.28,-591525.03668511,42
season,NEM,-1.24984514805443,0.720339359233387,6.46050561573684,3.85,15.65,-558271.535728687,42
season,SWM,-1.41935858593487,0.608678323505845,12.1606984221491,6.56,30.11,-28920.0308583573,42
annual,2012,-2.02204403188394,0.932939683297967,8.38697491551337,5.65,19.53,-51251.3809952593,43
annual,2013,-1.54612731637606,0.761478501877384,7.64381872711756,4.69,18.37,-179368.366707181,43
annual,2014,-0.692656052248944,0.63069068640754,5.27878459894633,2.91,13.02,-194137.67227448,43
interannual,2012-4,-1.21228169400705,0.699869883730916,6.68007705945187,3.92,16.25,-592545.006463038,43
season,NEM,-1.25710293872712,0.722921457567872,6.45189726051106,3.85,15.63,-558980.739215126,43
season,SWM,-1.47502184200614,0.622256858173447,12.0159492094758,6.57,29.68,-29174.1109895015,43
annual,2012,-2.04386965941453,0.941857298461939,8.44395205726931,5.71,19.63,-50119.0716836023,44
annual,2013,-1.5278778827518,0.755544399380964,7.63715231651512,4.66,18.38,-179094.515154721,44
annual,2014,-0.657785288949972,0.623747329447386,5.26878127717256,2.89,13.01,-194326.011440897,44
interannual,2012-4,-1.21526364122568,0.700552539023881,6.68361261689937,3.92,16.26,-592249.717688218,44
season,NEM,-1.26010083089735,0.723578336716605,6.45722113903291,3.85,15.64,-559013.345174022,44
season,SWM,-1.45990842703487,0.617923978514657,12.0890322875739,6.58,29.88,-28864.5532602372,44
annual,2012,-2.04733598689747,0.945674114833531,8.41980956638152,5.71,19.57,-50775.4068885418,45
annual,2013,-1.56066637709505,0.766084922923968,7.65367082841881,4.71,18.38,-179723.124201996,45
annual,2014,-0.676259047940928,0.628267247729409,5.25249650266261,2.89,12.96,-195824.607803368,45
interannual,2012-4,-1.20965361928469,0.699542425024417,6.67040241480879,3.91,16.23,-594503.767249328,45
season,NEM,-1.25295695092054,0.722034689001761,6.44413134190258,3.84,15.61,-560996.634783043,45
season,SWM,-1.44355942795762,0.616149964865437,11.9978617253726,6.52,29.67,-29158.6992483137,45
annual,2012,-2.02319104659822,0.926716578504606,8.48720346133369,5.7,19.79,-49840.9679835079,46
annual,2013,-1.55908574551383,0.76741191845532,7.61275692114795,4.69,18.28,-181759.814923985,46
annual,2014,-0.705355027467276,0.632676248631166,5.29695899147036,2.93,13.06,-193081.182581794,46
interannual,2012-4,-1.22254529200215,0.702449971604247,6.68692818110757,3.93,16.26,-592877.69256592,46
season,NEM,-1.26746634057829,0.725637708005055,6.46100189602741,3.86,15.64,-559122.828921948,46
season,SWM,-1.46162478567924,0.620416964652991,11.9625975790193,6.53,29.56,-29412.9057800696,46
annual,2012,-2.02793871134038,0.935298478037822,8.40272086457665,5.67,19.56,-50895.3984382742,47
annual,2013,-1.53519793337363,0.759483087226729,7.60474360618628,4.66,18.29,-181127.134181085,47
annual,2014,-0.704728606059648,0.632989666869086,5.28594367842259,2.92,13.03,-195089.263697915,47
interannual,2012-4,-1.21850606349208,0.701847565267892,6.67430225951504,3.92,16.23,-594045.799654322,47
